sample,pulse1,pulse2,triangle,noise,dmc,mixed
0,0,0,0,1,0.503937,0.199587
1,0,0,0,1,0.519685,0.202737
2,0,0,0,1,0.535433,0.205887
3,0,0,0,1,0.535433,0.205887
4,0,0,0,1,0.551181,0.209036
5,0,0,0,1,0.566929,0.212186
6,0,0,0,1,0.566929,0.212186
7,0,0,0,1,0.582677,0.215335
8,0,0,0,1,0.598425,0.218485
9,0,0,0,1,0.598425,0.218485
10,0,0,0,1,0.614173,0.221635
11,0,0,0,1,0.629921,0.224784
12,0,0,0,0,0.645669,0.129134
13,0,0,0,1,0.645669,0.227934
14,0,0,0,1,0.661417,0.231083
15,0,0,0,1,0.677165,0.234233
16,0,0,0,1,0.677165,0.234233
17,0,0,0,1,0.692913,0.237383
18,0,0,0,1,0.708661,0.240532
19,0,0,0,1,0.708661,0.240532
20,0,0,0,1,0.724409,0.243682
21,0,0,0,1,0.740157,0.246831
22,0,0,0,1,0.755906,0.249981
23,0,0,0,1,0.755906,0.249981
24,0,0,0,0,0.771654,0.154331
25,0,0,0,0,0.787402,0.15748
26,0,0,0,1,0.787402,0.25628
27,0,0,0,1,0.80315,0.25943
28,0,0,0,1,0.818898,0.26258
29,0,0,0,1,0.818898,0.26258
30,0,0,0,1,0.834646,0.265729
31,0,0,0,1,0.850394,0.268879
32,0,0,0,1,0.866142,0.272028
33,0,0,0,1,0.866142,0.272028
34,0,0,0,1,0.88189,0.275178
35,0,0,0,1,0.897638,0.278328
36,0,0,0,0,0.897638,0.179528
37,0,0,0,1,0.913386,0.281477
38,0,0,0,0,0.929134,0.185827
39,0,0,0,1,0.929134,0.284627
40,0,0,0,1,0.944882,0.287776
41,0,0,0,1,0.96063,0.290926
42,0,0,0,1,0.976378,0.294076
43,0,0,0,1,0.976378,0.294076
44,0,0,0,1,0.992126,0.297225
45,0,0,0,1,0.992126,0.297225
46,0,0,0,1,0.992126,0.297225
47,0,0,0,1,0.992126,0.297225
48,0,0,0,0,0.992126,0.198425
49,0,0,0,0,0.992126,0.198425
50,0,0,0,0,0.992126,0.198425
51,0,0,0,1,0.992126,0.297225
52,0,0,0,1,0.992126,0.297225
53,0,0,0,1,0.992126,0.297225
